0,1,2
45,123,0
38,29,0
14,18,0
16,9,1
7,7,2
10,8,3
27,91,6
18,34,0
10,7,3
22,13,2
34,69,1
13,22,1
17,8,0
11,20,0
17,13,1
5,21,2
10,9,0
5,15,0
11,7,1
19,6,0
16,17,0
11,8,0
9,18,0
8,14,0
14,11,1
31,85,647
13,49,136
11,15,20
11,12,1
13,20,0
12,10,0
20,14,1
7,6,0
13,14,0
13,16,0
12,18,0
53,51,1
35,15,0
16,15,0
15,15,0
15,4,0
9,8,0
22,17,0
16,12,0
27,17,0
28,13,0
9,10,0
15,10,1
16,6,0
24,10,1
22,10,0
11,22,0
13,17,0
43,13,0
30,10,0
28,10,0
22,17,0
24,22,0
31,16,1
13,3,0
18,6,0
17,10,0
10,13,0
23,21,0
30,13,1
13,10,0
29,17,0
14,11,0
26,13,0
28,19,0
28,10,1
17,17,0
13,11,0
56,18,1
15,12,0
12,12,0
18,20,0
18,7,0
14,5,0
16,15,1
28,14,1
38,13,0
21,23,0
48,39,0
75,24,0
23,16,0
32,21,0
41,11,0
22,10,2
22,6,1
17,12,2
37,21,2
34,14,0
30,48,0
22,14,0
34,8,0
54,18,0
31,14,0
40,27,0
33,26,0
27,8,1
70,17,1
30,8,0
34,11,1
54,20,0
49,25,0
32,35,0
26,18,0
32,10,0
43,17,0
35,25,0
49,24,0
29,92,4
29,134,32
28,12,8
22,39,1
38,28,0
31,21,1
30,23,1
30,23,0
20,14,0
30,29,1
42,31,2
31,18,0
52,22,2
50,38,8
52,57,2
43,21,0
100,39,1
30,43,0
32,21,1
45,27,0
48,40,0
59,31,2
38,16,0
82,22,1
30,25,0
43,12,0
39,20,0
27,13,0
41,13,0
25,17,0
36,13,1
40,39,1
93,16,0
60,35,2
40,12,0
17,18,0
66,13,0
15,19,0
47,37,0
69,25,0
30,17,1
29,15,1
26,15,0
62,12,0
48,26,1
55,55,1
60,29,0
63,59,0
41,34,0
40,46,0
116,239,14
84,37,0
48,30,0
43,19,1
18,17,0
23,17,0
40,39,1
31,28,1
49,37,1
74,45,0
76,30,1
49,39,2
62,15,0
25,18,0
54,35,0
33,32,0
46,32,0
41,20,0
80,49,6
45,47,0
53,28,18
35,49,12
31,10,0
50,65,0
56,48,0
43,27,0
65,19,1
55,14,0
78,51,1
37,59,1
53,57,2
54,26,0
22,22,0
26,24,1
46,63,1
66,52,0
57,47,1
37,7,0
35,22,0
49,35,0
43,25,0
26,26,5
34,98,0
40,23,0
