num,orig_ind,id,text,label
0,26742,8.30E+17,I liked a @YouTube video http://youtu.be/FSQ8oQ58Ohw?a  'Fat Acceptance' is Back and BIGGER than Ever!,0
1,14720,5.62E+17,Let’s End Fat Acceptance and Embrace Health Acceptance. http://wp.me/p4OGtu-gO ,1
2,15240,5.74E+17,I need fat acceptance because... pic.twitter.com/4g1tpDw9XT,0
3,32057,9.30E+17,.@rgay shows that she is indeed a #fatacceptance activist who is a force to be reckoned with. (By @Keah_Maria for @harpersbazaarus) #WomenWhoDare http://www.harpersbazaar.com/culture/features/a13517721/roxane-gay-hunger-interview/ …,0
4,33327,9.56E+17,I added a video to a @YouTube playlist http://youtu.be/SWp94l-ByRo?a  Sanity Vs. Fat Acceptance! #2 Debunking Lies One Video At A Time,2
5,3441,8.75E+16,"Why the fat acceptance movement does not glamorize obesity, http://ow.ly/3mbam",0
6,10820,4.54E+17,Do Fat Acceptance Bloggers Really Beli… http://blog.fittothefinish.com/2012/11/do-fat-acceptance-bloggers-really-believe-it-does-not-matter/ …,2
7,18138,6.22E+17,What is the bigger crime: Fat Shaming or Fat Acceptance ?,2
8,30056,8.91E+17,I liked a @YouTube video http://youtu.be/GaCHgWSUm0U?a  BuzzFeed's Fat Acceptance Video is Bullshit,1
9,2739,3.19E+16,#FatAcceptance is fine as long as you admit that being fat is a bad idea. http://theskinnyonline.blogspot.com/2011/01/better-thin.html,1
10,30987,9.06E+17,Never let the scale dictate who you are or how you should be valued. #BodyPositivity #FatAcceptance https://twitter.com/LoveWhatsThere/status/905166084877287424 …,0
11,28699,8.64E+17,"If your display name is ""fight fat acceptance"" than you are a fatphobic bigot. That's what those words mean.",0
12,5157,1.90E+17,http://ning.it/HCcb9Q#Obesity#Physical Activity#Eating Disorders#Fat Acceptance#Coke#Nestle#Pepsi#USA#Canada#TBay#Mexico#Mental Health#RT,2
13,44450,1.14E+18,".@WomanOfSizePod is coming to chat w us on Thurs LIVE @ 6pm PT/9pm ET...let the fangirling begin!
#PlusThis #PlusThisShow #Seethe68percent #FatsPo #FatAcceptance  #bopowarrior #FatPositive #RepresentationMatters #AllBodiesAreGoodBodies #TakeUpSpace #FatAndFree #PlusIsEqualpic.twitter.com/bhsbtskD5f",2
14,42144,1.10E+18,"#PoliCartoon: Where's the Fat Shaming?

Co-created with @hawkins_becky 

Transcript and commentary: https://www.patreon.com/posts/fat-shaming-and-23042507 …

Help me draw more cartoons at http://patreon.com/barry !

#FatAcceptance pic.twitter.com/fxqFg0SYUL",2
15,47788,1.20E+18,Best wishes for Native & Trans Months from Westminster Flabby - All The News That’s Fat To Print - https://www.facebook.com/photo.php?fbid=10158710026638539&set=a.188610238538&type=3&theater …! #TuesdayThoughts #TummyTuesday #TransformationTuesday #TipTuesday #fatjustice #fatacceptance #fatactivismpic.twitter.com/MykOZKZ1qx,2
16,24557,7.79E+17,Med soc discussion of fat phobia and fat acceptance *professor is super accepting*,2
17,21018,7.00E+17,@FUGOSLAVIA did you see the 'fat acceptance is #actually extremely damaging' one jesus help us,1
18,19569,6.47E+17,"The 'Fat and Fabulous' Farce: There are terms tossed about in the media recently: ""fat acceptance,"" ""fat and… http://dlvr.it/CGMT1P ",1
