0,1,2
58,104,0
32,28,0
10,17,0
13,7,1
7,4,2
9,7,3
23,84,4
17,33,0
11,5,3
12,9,1
36,62,1
7,19,1
12,8,0
10,15,0
11,9,1
4,20,2
6,7,0
8,16,0
9,8,0
27,10,0
13,14,0
15,8,0
17,15,0
6,13,0
15,8,1
46,75,648
23,41,137
16,16,20
15,11,1
17,8,0
14,8,0
32,11,1
11,8,0
21,11,0
13,14,0
15,18,0
77,44,0
27,14,0
19,13,0
28,22,0
16,5,0
12,7,0
23,12,0
23,8,0
27,13,0
32,13,0
10,3,0
11,14,1
15,4,0
31,9,1
17,10,0
11,22,0
16,21,1
56,10,0
26,4,1
27,16,0
20,14,0
39,15,0
35,16,3
7,7,1
26,9,1
16,5,0
9,13,0
26,21,1
64,30,1
21,9,0
35,11,0
18,10,1
10,11,0
22,17,0
18,13,0
13,14,1
17,8,1
64,15,2
14,8,1
19,7,1
21,6,1
11,3,1
11,2,1
17,8,1
36,5,1
32,10,1
18,23,1
73,28,1
66,20,1
22,10,1
29,19,1
28,8,1
17,9,4
20,4,0
13,9,2
27,19,0
26,9,0
27,48,0
11,5,0
21,11,0
16,12,0
13,10,0
24,12,0
23,23,2
18,1,0
36,16,1
23,3,0
18,3,1
49,17,2
33,12,0
28,22,0
26,19,0
17,6,0
32,14,1
28,13,2
25,14,1
22,76,6
29,131,35
15,9,9
15,48,2
26,24,1
22,19,3
21,15,2
24,15,0
11,8,2
20,21,1
36,22,4
27,11,1
44,18,4
44,37,5
30,51,3
20,9,0
97,24,3
23,29,2
28,14,3
32,18,1
32,28,3
40,30,3
22,14,1
79,18,2
24,23,1
16,7,1
23,27,1
21,13,1
23,7,1
22,10,1
19,12,2
34,39,2
81,9,2
42,25,2
25,15,1
11,11,1
13,6,1
12,16,1
36,15,1
53,17,1
18,17,1
15,9,2
20,12,1
23,3,1
20,19,1
53,40,5
49,20,1
43,50,3
39,26,1
28,9,1
42,26,15
69,24,1
36,16,1
30,16,1
13,13,0
20,15,1
26,23,1
26,25,2
59,29,2
43,16,1
33,24,1
32,31,1
47,7,1
14,9,1
40,20,1
89,31,2
58,29,1
40,13,0
47,51,2
47,48,2
40,23,19
27,34,13
19,9,1
73,62,2
57,39,1
27,16,1
58,17,2
43,14,1
49,32,2
35,52,2
44,16,3
32,23,2
9,15,2
15,16,1
38,62,12
52,50,1
24,43,1
27,4,1
20,13,1
40,26,2
26,18,1
15,11,6
18,104,1
34,21,1
26,16,1
11,24,3
47,33,1
26,33,1
30,48,1
45,28,3
29,9,1
12,11,1
75,18,3
57,15,3
29,11,1
38,25,1
21,29,3
5,14,2
17,22,1
25,25,1
70,71,4
20,56,2
75,353,2
157,240,3
77,90,4
41,81,1
33,36,2
89,48,3
61,32,1
32,33,1
41,72,2
16,27,1
35,82,1
172,28,1
40,42,1
29,37,2
59,87,3
50,108,1
27,89,1
9,26,1
53,33,2
24,39,1
24,36,1
13,43,1
41,65,2
20,72,1
54,52,1
40,52,1
36,51,1
46,71,1
44,16,1
60,113,1
47,54,1
27,37,1
19,35,1
33,31,1
31,37,2
18,25,2
158,218,4
107,136,7
34,120,1
69,72,1
37,124,3
97,194,1
42,150,2
46,92,7
30,63,2
61,76,1
61,121,2
75,100,1
129,86,1
73,74,2
81,91,1
92,122,1
122,155,2
138,141,1
115,109,2
198,177,2
171,104,1
235,143,4
78,117,2
125,130,1
72,58,1
67,126,1
52,361,1
64,75,2
52,94,2
48,173,2
55,100,2
56,68,1
51,87,1
102,55,1
136,118,3
55,97,1
82,94,1
126,83,1
204,43,1
103,69,1
43,58,1
44,57,1
19,40,1
37,96,1
18,45,1
16,26,1
22,86,1
42,98,1
26,51,1
66,56,3
41,31,1
15,32,1
31,130,1
47,42,1
60,45,1
94,49,1
36,65,1
30,47,1
45,162,1
42,90,2
33,91,3
44,47,1
44,80,1
34,41,1
28,43,1
27,66,1
61,88,1
97,43,2
64,94,2
