num,orig_ind,id,text,label1,label2,final_label
0,26742,830338585278685185,I liked a @YouTube video http://youtu.be/FSQ8oQ58Ohw?a  'Fat Acceptance' is Back and BIGGER than Ever!,1,1,
1,14720,561975210522333184,Let’s End Fat Acceptance and Embrace Health Acceptance. http://wp.me/p4OGtu-gO ,1,1,
2,15240,573617746707116032,I need fat acceptance because... pic.twitter.com/4g1tpDw9XT,2,0,
3,32057,930488859372212225,.@rgay shows that she is indeed a #fatacceptance activist who is a force to be reckoned with. (By @Keah_Maria for @harpersbazaarus) #WomenWhoDare http://www.harpersbazaar.com/culture/features/a13517721/roxane-gay-hunger-interview/ …,0,0,
4,33327,955796908684951552,I added a video to a @YouTube playlist http://youtu.be/SWp94l-ByRo?a  Sanity Vs. Fat Acceptance! #2 Debunking Lies One Video At A Time,1,1,
5,3441,87507230093623296,"Why the fat acceptance movement does not glamorize obesity, http://ow.ly/3mbam",0,0,
6,10820,453536288541392896,Do Fat Acceptance Bloggers Really Beli… http://blog.fittothefinish.com/2012/11/do-fat-acceptance-bloggers-really-believe-it-does-not-matter/ …,1,1,
7,18138,621723784941293568,What is the bigger crime: Fat Shaming or Fat Acceptance ?,2,1,
8,30056,891293616496193536,I liked a @YouTube video http://youtu.be/GaCHgWSUm0U?a  BuzzFeed's Fat Acceptance Video is Bullshit,1,2,
9,2739,31863162898743296,#FatAcceptance is fine as long as you admit that being fat is a bad idea. http://theskinnyonline.blogspot.com/2011/01/better-thin.html,2,2,
10,30987,905524978103324672,Never let the scale dictate who you are or how you should be valued. #BodyPositivity #FatAcceptance https://twitter.com/LoveWhatsThere/status/905166084877287424 …,0,0,
11,28699,863846154118758400,"If your display name is ""fight fat acceptance"" than you are a fatphobic bigot. That's what those words mean.",0,0,
12,5157,189687110872207361,http://ning.it/HCcb9Q#Obesity#Physical Activity#Eating Disorders#Fat Acceptance#Coke#Nestle#Pepsi#USA#Canada#TBay#Mexico#Mental Health#RT,2,2,
13,44450,1139953037919735808,".@WomanOfSizePod is coming to chat w us on Thurs LIVE @ 6pm PT/9pm ET...let the fangirling begin!
#PlusThis #PlusThisShow #Seethe68percent #FatsPo #FatAcceptance  #bopowarrior #FatPositive #RepresentationMatters #AllBodiesAreGoodBodies #TakeUpSpace #FatAndFree #PlusIsEqualpic.twitter.com/bhsbtskD5f",0,0,
14,42144,1099601806978510848,"#PoliCartoon: Where's the Fat Shaming?

Co-created with @hawkins_becky 

Transcript and commentary: https://www.patreon.com/posts/fat-shaming-and-23042507 …

Help me draw more cartoons at http://patreon.com/barry !

#FatAcceptance pic.twitter.com/fxqFg0SYUL",0,2,
15,47788,1199328890998665220,Best wishes for Native & Trans Months from Westminster Flabby - All The News That’s Fat To Print - https://www.facebook.com/photo.php?fbid=10158710026638539&set=a.188610238538&type=3&theater …! #TuesdayThoughts #TummyTuesday #TransformationTuesday #TipTuesday #fatjustice #fatacceptance #fatactivismpic.twitter.com/MykOZKZ1qx,0,2,
16,24557,778623155669704705,Med soc discussion of fat phobia and fat acceptance *professor is super accepting*,0,0,
17,21018,700359576542121984,@FUGOSLAVIA did you see the 'fat acceptance is #actually extremely damaging' one jesus help us,2,0,
18,19569,647478733729718272,"The 'Fat and Fabulous' Farce: There are terms tossed about in the media recently: ""fat acceptance,"" ""fat and… http://dlvr.it/CGMT1P ",1,1,
19,34088,969307806754099201,"How ""fat acceptance"" is affecting well-being and chronic disease via @NYTHealth  - http://nyti.ms/2CIwvKw  #nutrition #health",2,2,
20,40235,1062770887676649473,"You may think fanfiction is innocent fun, but it's a doorway to fat acceptance",1,1,
21,29097,872216792567042048,I liked a @YouTube video http://youtu.be/XzykIjoP8XA?a  FAT FEMINIST TRIGGERED CRINGE Fail! SJW MELTDOWN COMPILATION! Fat Acceptance...,1,1,
22,5634,200578384969990147,So what's YOUR standpoint in the size acceptance movement? http://www.moreofmetolove.com/blogs/entry/meet-erec-a-not-fat-african-american-male-rhetorician/ … @naafa #fatacceptance,0,2,
23,44165,1135547420308205568,"Who needs to hear this today? 

#allbodiesaregoodbodies #lovelythebook #healthateverysize #askamanda #fatacceptance #bodypositivity #catholicbooks
#ditchdietculture #bodyposi #fatpositive #fatactivism #plussize #bopo… https://www.instagram.com/p/ByQBCUBBswi/?igshid=uewze13huws5 …",0,0,
24,2780,34213331426349056,#Ask Thoughts on fat acceptance as a feminist issue? What are your thoughts?: ...I started reading into the fat ... http://bit.ly/gkplpY,0,2,
25,4588,169340398794309632,"Why the fat acceptance movement does not glamorize obesity, http://dld.bz/zVSp ",0,0,
26,29880,887675059095064576,I somehow ended up in the realm of twitter for fat acceptance - the kind where everyone else is wrong and they're healthy,1,1,
27,6879,258998510354038785,Twiggy twiggy twiggy/ can't you see/ your lack of curves infuriates me - theme of the skinny-shamers in the fat acceptance crowd,1,1,
28,2599,20665705368125440,"Same here chica! Though I am on a diet and have lost 5 pounds so far! Woo!""@kweenie: Looool, Dad doesn't like it when... #fatacceptance""",2,2,
29,45922,1164454249217941507,"Fat Acceptance.

The only movement without movement. pic.twitter.com/BsvbFlZ9u1",1,1,
30,33009,950638639179907072,I liked a @YouTube video http://youtu.be/tT-Ob_eYEd8?a  Why I Hate 'Fat Acceptance',1,1,
31,22749,748007404596563969,"fat acceptance simply an assault on the notion of aesthetics, standards for beauty... But it's fun to pick out contradictions",1,1,
32,46162,1167884385560879105,"“My truth” is code for fat acceptance.

Enjoy having these morbidly obese orcs stare down at you from above, America. You are witnessing the Talmudic desecration of your culture.

This is the final death throes of a sick and dying society.",1,1,
33,35292,987058198539653120,"Men! 
We have SPEED DATE tickets left just for you! Ladies have snapped up all of theirs, so we need chaps to even up the numbers.
(Dont worry girls, you can still join us from 9pm for Club Indulge as normal!) #plussize #bbw #ssbbw #fatacceptance http://www.club-indulge.com ",0,2,
34,2912,45135467775135744,"Being in the tourist capital of the US, I am gratified to find Fat Tuesday accurately represented. #fatacceptance #booyaw",0,2,
35,7267,287736457551040512,@NewBiggestLoser 'fat acceptance group?' So children should be ok being fat and unhealthy their whole lives?,1,1,
36,16560,595517117094633473,this whole dadbod thing is almost as ridiculous as the #FatAcceptance 'movement',1,1,
37,18064,619174501977321472,Speaking of crop tops...taking it back 5 yrs. Def not a flat tummy. #rockthecrop #fatacceptance #bodyacceptancepic.twitter.com/MxfiOOkFqY,0,0,
38,16959,599594222526853121,"i feel sick 
Taboo: Fat Acceptance https://youtu.be/PRnRS19topc  via @YouTube",2,2,
39,25274,793050114579308544,"Look out for the Killer/Creepy clowns, the SJW clowns, the fat acceptance clowns, the Baby Mama acceptance clowns, the PC clowns...",1,1,
40,10562,438671334445699072,"Fat acceptance is a lifestyle change - bumsquash: So’s going from hating yourself, to not hating yourself... http://tmblr.co/ZOwb_r18ZVoLp ",0,0,
41,26501,826837762246660096,Enjoy the 'Super Duper Incontrovertibly Incredible & Unrelentingly Exciting Fat Acceptance Test' - on #BookBuzzr - http://bit.ly/2dbhMLZ ,2,2,
42,1806,17530975575,"@DataHawk Oh I am fine with fat acceptance, it is nice, the idea people wouldn't reject me outright, but to intentionally gain? Ugh",0,0,
43,28549,859725941152653312,the whole fat acceptance bullshit pisses me off,1,1,
44,14252,551860345200205825,"@yemi_isms cannot stand these posts ""what I don't understand about fat acceptance"". all they want to do is shame!",0,1,
45,43878,1129342708328349696,"Probably because you don't really see anorexia being promoted by the general public, but more of an unfortunate consequence of the way most models look. You have a fat acceptance movement, but you don't have an anorexia acceptance movement.",2,2,
46,38829,1038959990441160704,"Also, I thought women like you were for body positivity and fat acceptance.  I guess men with beer guts dont count right?  ",1,1,
