0,1,2
2078,3124,219
1488,2231,225
1431,2016,297
1391,2094,151
1294,1991,138
1334,1819,82
1324,1847,46
1296,1670,51
1276,1695,59
1418,1688,72
1236,1784,58
1301,1631,46
1265,1594,38
1226,1537,24
1227,1564,12
1123,1495,14
1082,1359,8
1140,1404,6
1132,1473,13
975,1338,12
1008,1331,14
1007,1324,11
931,1234,9
955,1306,6
971,1256,7
858,1098,10
851,1086,9
758,1124,8
779,1051,5
726,1046,6
735,1028,4
712,893,6
678,884,6
594,768,7
567,724,3
553,765,3
512,725,6
498,697,1
507,657,1
459,715,5
510,622,1
407,524,9
302,269,5
211,172,3
150,102,0
89,83,3
53,46,3
140,89,3
