0,1,2
89,67,6
36,24,0
14,11,2
12,8,1
6,7,0
16,3,0
19,85,7
30,18,2
10,6,3
7,14,1
23,66,10
7,13,7
13,6,1
5,19,1
13,7,1
5,21,0
9,4,0
7,9,8
7,9,1
25,10,2
18,9,0
14,9,0
19,13,0
8,11,0
17,6,1
26,37,706
24,20,157
19,13,20
18,7,2
14,11,0
14,8,0
29,14,1
12,7,0
25,7,0
21,6,0
21,12,0
83,37,1
14,26,1
23,9,0
26,22,2
13,8,0
10,9,0
22,13,0
25,6,0
27,10,3
33,12,0
12,0,1
12,12,2
14,5,0
30,10,1
9,18,0
14,19,0
19,18,1
60,6,0
19,11,1
24,18,1
24,10,0
32,22,0
34,19,1
8,6,1
23,11,2
16,5,0
9,12,1
36,10,2
72,22,1
20,10,0
29,17,0
15,13,1
11,10,0
21,16,2
21,10,0
16,11,1
12,14,0
64,16,1
14,8,1
19,7,1
14,13,1
8,6,1
6,7,1
13,12,1
26,14,2
27,15,1
30,9,3
39,58,5
55,30,2
15,17,1
30,18,1
21,15,1
16,12,2
9,14,1
12,12,0
20,26,0
18,14,3
15,59,1
10,6,0
19,13,0
14,14,0
12,11,0
27,9,0
20,27,1
11,8,0
30,23,0
18,8,0
9,13,0
51,16,1
26,19,0
29,21,0
18,27,0
9,14,0
25,20,2
29,10,4
28,11,1
19,79,6
18,167,10
14,18,1
15,48,2
26,24,1
24,18,2
11,23,4
21,18,0
11,9,1
15,26,1
34,27,1
18,21,0
38,25,3
26,57,3
38,45,1
15,14,0
77,45,2
25,28,1
27,16,2
26,24,1
42,20,1
33,39,1
11,25,1
75,21,3
14,32,2
13,9,2
19,30,2
22,12,1
14,16,1
14,18,1
16,16,1
23,49,3
65,25,2
38,30,1
27,13,1
10,12,1
5,14,1
8,19,2
30,21,1
14,56,1
18,17,1
8,17,1
19,13,1
17,9,1
10,29,1
19,67,12
44,25,1
46,48,2
35,30,1
27,10,1
40,42,1
61,28,5
26,25,2
31,13,3
11,12,3
19,16,1
15,31,4
21,31,1
57,18,15
28,31,1
18,39,1
22,41,1
41,13,1
6,17,1
31,29,1
88,33,1
56,31,1
33,20,0
30,69,1
29,66,2
32,49,1
24,49,1
10,18,1
46,87,4
41,54,2
24,19,1
44,32,1
35,22,1
9,73,1
29,58,2
35,27,1
27,27,3
6,19,1
5,25,2
10,95,7
14,88,1
20,44,4
16,14,2
15,17,2
39,28,1
10,34,1
22,8,2
16,106,1
22,31,3
17,25,1
11,26,1
43,37,1
23,35,2
25,53,1
15,57,4
15,23,1
11,12,1
33,23,40
26,39,10
17,23,1
30,31,3
20,31,2
10,10,1
19,20,1
26,23,2
45,99,1
17,59,2
110,319,1
113,286,1
81,85,5
55,65,3
30,35,6
50,88,2
52,41,1
33,32,1
36,78,1
20,23,1
77,38,3
168,27,6
38,42,3
33,33,2
54,93,2
51,106,2
19,97,1
12,23,1
46,41,1
20,42,2
15,45,1
14,42,1
34,73,1
36,48,9
19,87,1
35,57,1
39,48,1
56,61,1
30,30,1
98,74,2
34,65,3
28,36,1
22,31,2
27,35,3
15,54,1
20,24,1
106,271,3
60,189,1
24,127,4
44,97,1
27,135,2
91,199,2
85,107,2
33,111,1
26,68,1
49,88,1
73,108,3
72,103,1
115,100,1
64,84,1
62,108,3
67,147,1
96,180,3
76,203,1
97,127,2
135,236,6
145,126,5
197,184,1
46,150,1
58,196,2
52,78,1
51,142,1
48,365,1
66,74,1
53,94,1
37,185,1
33,123,1
60,64,1
51,86,2
64,93,1
62,193,2
56,96,1
64,111,2
51,156,3
197,50,1
77,75,21
59,42,1
48,53,1
19,40,1
12,119,3
15,48,1
18,24,1
44,64,1
48,92,1
25,51,2
28,96,1
25,47,1
10,37,1
108,53,1
40,49,1
55,49,2
81,56,7
25,76,1
25,52,1
34,172,2
32,101,1
23,103,1
45,46,1
32,91,2
14,61,1
20,51,1
31,61,2
44,103,3
39,102,1
92,67,1
53,164,1
49,101,4
53,157,2
12,92,13
28,176,12
34,124,10
40,52,6
35,65,3
36,100,5
29,114,5
22,95,7
42,47,6
24,172,6
30,60,5
111,305,6
72,98,7
70,100,6
42,154,5
42,180,3
38,91,5
25,104,6
19,266,8
26,167,5
31,132,8
20,91,2
28,74,6
16,115,6
35,73,7
31,53,11
11,47,9
21,1640,7
20,133,8
31,102,11
29,77,7
34,69,12
40,256,10
41,160,7
247,63,9
17,102,9
82,254,6
46,92,4
26,171,10
58,364,5
26,97,10
45,115,7
136,293,14
89,157,7
40,840,9
34,116,10
69,111,5
50,608,3
134,135,4
41,121,6
91,187,3
91,82,4
40,79,6
48,254,7
31,109,6
59,105,6
46,95,4
34,108,5
24,119,10
15,274,7
32,108,13
92,208,11
63,88,7
85,383,10
81,233,9
26,109,10
60,83,7
38,80,6
33,115,7
21,73,8
21,91,9
28,69,9
49,69,9
181,300,4
83,154,6
62,100,9
21,103,6
14,74,6
32,103,7
744,68,1
315,82,5
132,142,10
178,174,35
116,86,12
120,59,7
147,118,9
41,92,11
60,150,11
52,130,7
45,67,8
82,105,10
63,97,7
185,97,8
131,214,12
89,332,12
89,204,6
65,84,6
51,108,13
50,236,12
58,174,6
48,136,9
77,84,10
82,142,9
73,301,7
64,140,10
63,167,7
196,112,7
72,105,8
46,80,9
69,219,7
96,268,8
95,1408,9
129,157,5
58,110,6
68,279,7
59,344,14
209,90,8
43,131,6
41,155,12
20,220,9
53,215,8
33,282,10
39,195,8
74,222,9
69,163,6
95,161,8
27,99,6
34,93,5
622,61,4
46,76,10
54,87,8
51,80,8
62,94,10
54,89,9
25,68,8
586,151,13
33,161,7
241,144,7
63,186,8
60,491,9
49,80,6
241,81,8
59,384,8
55,179,7
75,157,8
290,87,11
67,4542,11
88,169,5
119,119,9
90,119,7
98,78,8
128,927,9
110,79,7
127,233,8
193,298,7
147,115,7
102,90,11
57,111,8
382,98,6
111,145,11
135,238,10
2012,119,9
107,118,7
106,164,10
142,111,10
50,115,9
730,226,9
72,154,7
159,94,7
62,78,7
61,121,15
349,135,9
244,163,6
152,132,7
61,194,7
2455,54,7
62,139,7
70,120,9
134,118,8
77,115,7
85,160,10
34,143,13
64,60,7
83,104,6
27,106,7
33,263,9
216,169,8
29,134,8
34,416,7
0,3,0
